Trade Date,Index Value,Net Change,High,Low
7/9/20,313.95317413145,-8.09097945551,322.58955492888,311.98547602771
7/8/20,322.04415358696,8.51146422836,322.97712320526,315.29727444987
7/7/20,313.53268935860,-1.68920245979,316.98107018799,311.93402848481
7/6/20,315.22189181839,7.50905909752,315.92630995481,311.74693393031
7/2/20,307.71283272087,2.40269524077,314.20562682405,306.59680905876
7/1/20,305.31013748010,-6.63303541881,313.12526369425,303.78598590919
6/30/20,311.94317289891,5.25558767224,313.19940796126,304.84899239770
6/29/20,306.68758522667,9.31643186588,308.00137922247,296.71001729912
6/26/20,297.37115336079,-5.92267537607,301.26121922644,296.11744164772
6/25/20,303.29382873686,-0.23076843624,303.63017253896,297.49812516595
6/24/20,303.52459717310,-10.95350330262,310.81366042815,298.47399734577
6/23/20,314.47810047572,1.83297264081,317.32857946228,312.09011112309
6/22/20,312.64512783491,2.36634447445,312.84575244593,305.38369524880
6/19/20,310.27878336046,-3.68822138418,319.82561338239,307.56008615813
6/18/20,313.96700474464,-3.78421466288,317.99845560561,312.97212179844
6/17/20,317.75121940752,-3.31383427190,323.33080490964,316.87477579724
6/16/20,321.06505367942,10.05131593423,325.42039787411,313.54244879808
6/15/20,311.01373774519,9.50159464888,311.22033216440,290.16889752338
6/12/20,301.51214309631,9.51417303841,308.35605360901,293.84498782244
6/11/20,291.99797005790,-25.72049461326,306.57074308463,291.98778983185
6/10/20,317.71846467116,-4.11776395404,323.06250780994,312.27562926950
6/9/20,321.83622862520,-6.07441704322,324.41174224971,318.66477382830
6/8/20,327.91064566842,1.30610398740,335.69857722388,325.87423702343
6/5/20,326.60454168102,12.89804890195,330.51614442664,323.03307322207
6/4/20,313.70649277907,-3.80888055831,321.10433885152,312.20095849508
6/3/20,317.51537333738,9.95166451798,318.68550702731,312.77771787792
6/2/20,307.56370881940,4.64207132329,308.03249993107,303.56945210116
6/1/20,302.92163749611,3.13368481024,306.06320686906,298.87764684708
5/29/20,299.78795268587,-2.91532932321,304.91822578495,297.91502380317
5/28/20,302.70328200908,-11.58336454909,317.67927748062,301.34152832122
5/27/20,314.28664655817,15.58171582537,314.29796072151,303.76422772512
5/26/20,298.70493073280,13.11747662123,300.48752555711,296.10987004246
5/22/20,285.58745411157,3.18776940373,285.89084034750,280.36616485303
5/21/20,282.39968470784,2.51889923777,284.80732189559,278.86091241713
5/20/20,279.88078547007,4.59239703013,284.42483565647,277.29747535654
5/19/20,275.28838843994,-1.23899483295,282.54032691940,271.49020826669
5/18/20,276.52738327289,22.85957896618,278.85127719678,266.20640723068
5/15/20,253.66780430671,2.69872538737,255.92890928009,246.19180077587
5/14/20,250.96907891934,5.77336652853,251.06798490840,234.67293123830
5/13/20,245.19571239081,-9.87511039418,253.10448394000,242.58862924550
5/12/20,255.07082278499,-8.88205900069,265.41551820694,255.06457931714
5/11/20,263.95288178568,-5.59152751094,266.48113690141,259.90808590743
5/8/20,269.54440929662,9.79623402098,270.37080505306,263.20653148506
5/7/20,259.74817527564,3.81548735219,263.64363815907,259.10577054806
5/6/20,255.93268792345,-1.86154229896,260.94570223944,255.04768088775
5/5/20,257.79423022241,1.92473318104,263.47289375511,257.35503535099
5/4/20,255.86949704137,-0.07385498585,256.89099077762,248.56153377162
5/1/20,255.94335202722,-12.07448351172,258.30660566922,252.53342021028
4/30/20,268.01783553894,-10.14116355152,271.65315942126,266.97693218164
4/29/20,278.15899909046,13.50463115426,279.24498207333,273.30159377941
4/28/20,264.65436793620,11.76343034993,268.23192154934,262.22697166796
4/27/20,252.89093758627,11.36357340184,254.06241152402,244.17321983715
4/24/20,241.52736418443,6.75008180817,243.24370939960,234.91415836012
4/23/20,234.77728237626,1.64067067192,240.12503156173,232.02667179120
4/22/20,233.13661170434,1.87555682403,236.83771677687,232.82012347709
4/21/20,231.26105488031,-3.85680726684,233.56240123925,227.31377534795
4/20/20,235.11786214715,-10.62800913304,241.27507467994,234.14957094443
4/17/20,245.74587128019,9.88218232090,249.87097489540,242.54977777278
4/16/20,235.86368895929,0.44052500781,236.97009155670,230.15344904647
4/15/20,235.42316395148,-13.66004176962,238.89535857081,233.02386313593
4/14/20,249.08320572110,6.15158205328,252.45248307972,245.23823097701
4/13/20,242.93162366782,-14.24607336765,254.63863021174,241.07308442413
4/9/20,257.17769703547,11.08975271704,264.85757373175,253.52622563559
4/8/20,246.08794431843,17.54228010546,247.00249188639,231.37989365249
4/7/20,228.54566421297,7.38256765556,239.17194092039,227.85481051779
4/6/20,221.16309655741,22.53688348224,222.80908533396,210.72873408937
4/3/20,198.62621307517,-6.95106220082,205.98774856661,195.29031100008
4/2/20,205.57727527599,-2.97538416055,212.70576183726,201.06923403809
4/1/20,208.55265943654,-12.23738880127,213.71572104606,206.94597093427
3/31/20,220.79004823781,-6.78336118863,227.03278647987,219.38691197975
3/30/20,227.57340942644,-0.59387136889,228.68891410495,220.84796044880
3/27/20,228.16728079533,-12.25363434105,235.24661408205,226.79979998372
3/26/20,240.42091513638,12.43538200555,241.50137911976,230.04043250169
3/25/20,227.98553313083,19.91206979889,235.34631771092,209.38612111600
3/24/20,208.07346333194,27.65411139880,208.30427208221,191.85469050959
3/23/20,180.41935193314,-14.59102576465,191.68619824851,175.41051199207
3/20/20,195.01037769779,-9.06092656128,208.05817511494,193.30700553579
3/19/20,204.07130425907,11.59147333217,206.65316578964,183.90256800953
3/18/20,192.47983092690,-27.65747284055,217.56004424668,179.27978247005
3/17/20,220.13730376745,-0.66527864590,227.40191901431,210.68844792650
3/16/20,220.80258241335,-47.45476759529,265.64524463227,220.50848009402
3/13/20,268.25735000864,9.80788749883,272.84652450973,249.45631052340
3/12/20,258.44946250981,-33.78179197401,288.97167070813,255.68221009782
3/11/20,292.23125448382,-25.43282264526,311.59683580055,289.83256578736
3/10/20,317.66407712908,8.22425464654,319.36121228706,301.36440088853
3/9/20,309.43982248254,-29.49362958651,337.71439235664,307.92333490183
3/6/20,338.93345206905,-7.42428193017,341.25417561330,330.32346832678
3/5/20,346.35773399922,-12.08084385458,353.79031853539,344.29772855660
3/4/20,358.43857785380,17.01059867188,358.52508562555,346.72763935001
3/3/20,341.42797918192,0.89059883650,349.73022494634,337.13550248829
3/2/20,340.53738034542,14.33861354449,340.66170154034,325.66207590482
2/28/20,326.19876680093,-9.32803145601,329.70510937403,319.53466692130
2/27/20,335.52679825694,-7.59890780205,346.81391033222,333.43536473596
2/26/20,343.12570605899,-9.74883774358,353.32064627298,342.94506393683
2/25/20,352.87454380257,-15.62417613829,368.14325243275,352.78457445620
2/24/20,368.49871994086,-7.32283543181,371.18904980223,367.57705795500
2/21/20,375.82155537267,-2.28527517152,378.50932181833,375.24974705557
2/20/20,378.10683054419,3.76412294400,378.42174767662,372.83037947398
2/19/20,374.34270760019,0.24749963595,376.91440746293,374.31909503752
2/18/20,374.09520796424,-3.53670098253,377.81344426743,373.12216220821
2/14/20,377.63190894677,0.87979347836,377.72183355573,374.68641018638
2/13/20,376.75211546841,0.89590767899,377.71899208857,374.24519896777
2/12/20,375.85620778942,0.02266973304,376.82327366319,374.60036490295
2/11/20,375.83353805638,0.54201093787,376.87395447010,374.07491488749
2/10/20,375.29152711851,2.71309852781,375.39402676304,372.38733028008
2/7/20,372.57842859070,-1.88852945275,374.19253349432,371.55625089454
2/6/20,374.46695804345,-0.72986751585,377.39649251918,373.37343291685
2/5/20,375.19682555930,8.91058629190,375.46537222696,367.68729266029
2/4/20,366.28623926740,-0.46555102095,370.50616565923,364.57262719812
2/3/20,366.75179028835,0.78800985483,368.84437994960,366.68897601631
1/31/20,365.96378043352,-7.75684268399,372.44440193611,363.71769799577
1/30/20,373.72062311751,0.23908238202,374.58986806211,370.78997604465
1/29/20,373.48154073549,-3.35296587372,378.05796202984,371.61477654641
1/28/20,376.83450660921,6.28837177235,378.46599193541,372.59902479821
1/27/20,370.54613483686,-0.72665876453,373.02518314017,367.95896400567
1/24/20,371.27279360139,-4.10942160524,376.36011201724,369.75738333529
1/23/20,375.38221520663,4.38455642293,376.38056574907,369.72819124898
1/22/20,370.99765878370,1.78804195083,372.91654681292,369.70100426320
1/21/20,369.20961683287,3.83400919748,369.52027343656,365.10468403332
1/17/20,365.37560763539,0.22753782851,368.48241938348,365.12246622018
1/16/20,365.14806980688,2.43399156652,365.23296924728,362.58235922711
1/15/20,362.71407824036,4.22815723481,363.73605324629,358.56212384713
1/14/20,358.48592100555,1.49386125219,359.09710809887,356.31416154606
1/13/20,356.99205975336,2.75294745726,357.16790855545,354.39687473317
1/10/20,354.23911229610,1.45519072404,355.66916706491,351.56461364839
1/9/20,352.78392157206,0.95486777881,354.50991824115,352.16761323376
1/8/20,351.82905379325,2.64571439518,355.02893299055,350.18484828536
1/7/20,349.18333939807,-1.13355074621,351.20090462117,349.06359917044
1/6/20,350.31689014428,1.36900778372,350.85153382673,347.73618428914
1/3/20,348.94788236056,0.89017584358,349.11952339744,345.28532597154
1/2/20,348.05770651698,-1.36536799809,350.97691781300,345.72876776229
12/31/19,349.42307451507,1.37090060066,349.64343762717,347.21777833671
12/30/19,348.05217391441,-0.86748304377,349.03364789706,346.59436680386
12/27/19,348.91965695818,-0.02475936551,349.93679852786,348.22380243023
